sha256;id;time_[ms]
;0;0.08;
;1;0.09;
;2;0.08;
;3;0.07;
;4;0.06999999999999999;
;5;0.07;
;6;0.07;
;7;0.07;
;8;0.06;
;9;0.06999999999999999;
